代码,名称,决策建议,现价,连跌天数,连跌%,周幅%,月幅%,年幅%,MA5偏离%,量比,成交额(万),日期
515310,沪深300指数ETF,观察,1.427,1,-0.07,3.18,3.86,22.91,1.54,0.41,959.4,2026-01-07
510300,沪深300ETF,观察,4.916,1,-0.06,3.21,3.89,23.39,1.55,0.56,223047.67,2026-01-07
510390,沪深300ETF平安,观察,5.35,1,-0.04,3.28,3.58,23.79,1.58,0.82,484.56,2026-01-07
515660,沪深300ETF国联安,观察,5.926,1,-0.03,3.15,3.89,23.25,1.6,0.16,197.97,2026-01-07
510350,沪深300ETF工银,观察,4.996,1,-0.04,3.18,3.98,24.12,1.61,0.15,1114.79,2026-01-07
515720,金融科技ETF富国,观察,0.956,1,-1.44,4.14,6.22,,1.64,0.55,1148.32,2026-01-07
515920,智能消费ETF,观察,1.198,1,-0.08,4.45,4.9,36.91,1.77,0.53,223.86,2026-01-07
515400,大数据ETF,观察,0.977,1,-0.51,5.51,3.72,14.0,1.86,0.84,5665.24,2026-01-07
510850,上证50ETF工银,观察,3.765,1,-0.05,3.78,5.26,21.22,1.88,0.2,897.99,2026-01-07
510050,上证50ETF,观察,3.23,1,-0.15,3.89,4.73,20.34,1.88,0.48,103950.37,2026-01-07
510100,上证50ETF易方达,观察,3.15,1,-0.06,3.93,5.0,20.87,1.92,0.34,20304.43,2026-01-07
510800,50ETF基金,观察,1.488,1,-0.13,4.2,4.94,19.52,1.93,0.38,246.1,2026-01-07
515790,光伏ETF,观察,1.003,1,-0.1,1.93,3.83,28.1,1.95,0.66,28593.02,2026-01-07
515230,软件ETF,观察,0.936,1,-1.16,6.24,6.12,15.13,2.05,0.57,12463.52,2026-01-07
512720,计算机ETF,观察,1.254,1,-0.56,5.91,4.24,15.79,2.18,0.28,2854.37,2026-01-07
515010,券商ETF基金,观察,1.459,1,-0.82,4.36,4.44,6.65,2.37,0.64,4851.74,2026-01-07
512000,券商ETF,观察,0.609,1,-0.81,4.46,4.46,5.91,2.39,0.55,82759.01,2026-01-07
510200,上证券商ETF,观察,1.364,1,-0.37,4.12,4.68,7.4,2.4,0.39,389.57,2026-01-07
512900,证券ETF南方,观察,1.261,1,-0.71,4.47,4.73,5.97,2.45,0.39,2312.28,2026-01-07
512570,证券ETF易方达,观察,1.279,1,-0.78,4.41,4.58,6.94,2.45,0.62,5240.78,2026-01-07
515850,证券ETF富国,观察,1.574,1,-0.63,4.45,4.93,7.37,2.45,0.5,1425.01,2026-01-07
515560,证券ETF建信,观察,1.168,1,-0.6,4.57,4.85,6.67,2.55,0.33,476.93,2026-01-07
512880,证券ETF,观察,1.277,1,-0.7,4.5,4.93,6.33,2.57,0.65,192047.28,2026-01-07
512680,军工ETF龙头,观察,1.487,1,-0.07,7.52,19.44,39.62,3.09,0.46,10524.34,2026-01-07
515250,智能汽车ETF,观察,1.231,1,-0.08,7.51,10.7,29.58,3.15,1.05,10952.59,2026-01-07
512810,军工ETF华宝,观察,0.84,1,-0.24,7.42,19.49,40.23,3.22,0.61,4870.1,2026-01-07
512560,军工ETF易方达,观察,0.895,1,-0.11,7.44,19.65,41.84,3.23,0.6,4206.75,2026-01-07
512660,军工ETF,观察,1.45,1,-0.21,7.41,19.24,39.56,3.23,0.55,38179.72,2026-01-07
515630,保险证券ETF,观察,1.548,1,-0.45,5.74,8.4,14.33,3.24,1.6,13517.43,2026-01-07
512070,证券保险ETF,观察,0.993,1,-0.1,6.2,10.21,19.35,3.57,0.79,62736.24,2026-01-07
512710,军工龙头ETF,观察,0.841,1,-0.36,9.79,23.49,37.42,4.37,0.55,50199.35,2026-01-07
512630,卫星ETF广发,观察,1.593,1,-0.87,17.13,48.46,,6.4,1.11,30421.0,2026-01-07
515450,红利低波50ETF,观察,1.411,0,0.0,0.93,-0.35,3.14,0.6,0.85,12390.97,2026-01-07
510880,红利ETF,观察,3.219,0,0.0,1.07,0.28,1.1,0.67,0.55,27102.18,2026-01-07
515890,红利ETF博时,观察,1.418,0,0.0,1.5,1.0,6.3,0.82,0.27,196.19,2026-01-07
510720,红利国企ETF,观察,0.973,0,0.0,0.83,-0.31,0.1,0.85,1.08,11367.64,2026-01-07
515080,中证红利ETF,观察,1.571,0,0.0,1.55,1.09,5.65,0.85,0.62,15776.06,2026-01-07
515760,浙江国资ETF,观察,1.437,0,0.0,2.5,2.57,18.66,1.3,3.87,173.57,2026-01-07
515880,通信ETF,观察,3.17,0,0.0,1.83,7.79,127.57,1.34,0.69,102601.71,2026-01-07
512040,价值100ETF,观察,1.184,0,0.0,2.87,4.13,20.57,1.35,0.47,2692.72,2026-01-07
512580,环保ETF,观察,1.316,0,0.0,1.86,2.25,30.82,1.36,0.26,502.68,2026-01-07
512620,农业ETF天弘,观察,1.039,0,0.0,3.18,4.95,,1.37,0.45,834.83,2026-01-07
510980,上证综合ETF,观察,1.41,0,0.0,2.92,3.68,22.5,1.47,0.56,2113.95,2026-01-07
515390,沪深300ETF指数基金,观察,1.389,0,0.0,3.19,3.73,23.14,1.55,0.33,819.06,2026-01-07
510150,消费ETF,观察,0.574,0,0.0,2.87,2.87,7.69,1.56,0.93,4805.65,2026-01-07
515210,钢铁ETF,观察,1.485,0,0.0,2.41,5.1,30.38,1.57,0.34,6456.36,2026-01-07
515330,沪深300ETF天弘,观察,1.375,0,0.0,3.23,3.85,23.21,1.57,0.25,615.68,2026-01-07
515380,沪深300ETF泰康,观察,5.52,0,0.0,3.39,3.88,23.27,1.61,0.23,897.9,2026-01-07
515350,民生加银300ETF,观察,6.403,0,0.0,3.39,3.83,23.47,1.62,0.39,176.27,2026-01-07
510370,300指数ETF,观察,1.067,0,0.0,2.99,4.1,21.94,1.64,0.37,220.16,2026-01-07
510210,上证指数ETF,观察,1.023,0,0.0,3.23,4.6,24.15,1.65,0.57,16655.82,2026-01-07
510320,沪深300ETF中金,观察,1.289,0,0.0,3.29,3.78,,1.66,0.55,407.61,2026-01-07
512030,中证A50增强ETF易方达,观察,1.151,0,0.0,3.51,4.35,,1.68,1.22,115.22,2026-01-07
515070,人工智能AIETF,观察,2.027,0,0.0,4.75,6.07,69.2,1.76,0.6,13878.28,2026-01-07
515060,房地产ETF基金,观察,0.734,0,0.0,2.95,1.1,3.82,1.77,0.59,1604.24,2026-01-07
515130,沪深300ETF博时,观察,1.567,0,0.0,3.43,4.26,24.76,1.77,0.36,365.94,2026-01-07
515050,5G通信ETF,观察,2.362,0,0.0,2.25,8.0,103.27,1.78,0.63,24246.36,2026-01-07
512930,AI人工智能ETF,观察,2.279,0,0.0,4.78,6.05,69.82,1.78,0.67,10123.67,2026-01-07
512990,MSCIA股ETF,观察,2.038,0,0.0,3.45,4.57,24.72,1.78,0.34,253.83,2026-01-07
512380,MSCI中国ETF,观察,1.656,0,0.0,3.5,4.48,23.31,1.81,1.17,550.19,2026-01-07
512970,大湾区ETF,观察,1.569,0,0.0,3.63,5.44,30.21,1.83,0.76,117.19,2026-01-07
512370,A500增强ETF基金,观察,1.162,0,0.0,3.66,5.16,,1.84,0.71,154.4,2026-01-07
512950,央企改革ETF,观察,1.517,0,0.0,4.19,5.35,9.37,1.84,0.67,523.35,2026-01-07
512160,MSCI中国A股ETF,观察,1.53,0,0.0,3.66,5.08,25.51,1.86,0.28,131.97,2026-01-07
512090,MSCIA股ETF易方达,观察,2.0,0,0.0,3.63,4.77,25.55,1.88,0.29,5777.12,2026-01-07
510130,上证中盘ETF易方达,观察,7.363,0,0.0,3.65,4.53,20.9,1.89,2.85,335.58,2026-01-07
515680,央企创新ETF嘉实,观察,1.68,0,0.0,3.58,5.26,9.88,1.89,0.55,330.06,2026-01-07
515030,新能源车ETF,观察,1.949,0,0.0,5.41,7.15,60.68,1.9,0.47,12303.62,2026-01-07
512200,房地产ETF,观察,1.543,0,0.0,3.21,1.58,2.94,1.9,0.78,13176.39,2026-01-07
512910,中证A100ETF,观察,1.332,0,0.0,4.06,4.31,28.45,1.91,0.62,1196.47,2026-01-07
515980,人工智能ETF,观察,0.908,0,0.0,5.34,5.21,81.6,1.93,0.71,22919.53,2026-01-07
510190,上证50ETF华安,观察,4.598,0,0.0,4.12,4.88,19.9,1.93,0.82,254.3,2026-01-07
512050,A500ETF基金,观察,1.235,0,0.0,4.13,5.83,28.25,1.95,0.64,956454.61,2026-01-07
512080,A500ETF中金,观察,1.327,0,0.0,4.0,5.74,,1.97,0.27,1105.48,2026-01-07
510950,上证50ETF广发,观察,1.349,0,0.0,4.01,5.14,20.66,1.97,0.26,148.47,2026-01-07
515900,央企创新驱动ETF,观察,1.67,0,0.0,3.6,5.56,10.01,1.99,0.16,617.96,2026-01-07
515370,光伏ETF华夏,观察,0.955,0,0.0,2.36,4.03,,1.99,1.08,2198.87,2026-01-07
512020,A500ETF指数,观察,1.307,0,0.0,4.14,5.83,28.01,2.0,0.34,5812.35,2026-01-07
510680,上证50ETF基金,观察,3.373,0,0.0,3.98,5.21,20.08,2.01,1.53,797.47,2026-01-07
515700,新能车ETF,观察,2.608,0,0.0,5.59,7.5,62.39,2.01,0.8,5874.41,2026-01-07
510710,上证50ETF博时,观察,4.501,0,0.0,4.17,5.29,20.93,2.03,0.19,199.91,2026-01-07
515600,央企创新ETF,观察,1.674,0,0.0,3.85,5.62,10.2,2.05,0.43,513.57,2026-01-07
515110,一带一路ETF易方达,观察,1.642,0,0.0,4.06,6.76,19.51,2.08,0.2,131.91,2026-01-07
515860,科技ETF嘉实,观察,1.754,0,0.0,3.97,6.37,49.66,2.08,0.19,101.35,2026-01-07
510270,国企ETF,观察,1.57,0,0.0,4.18,5.02,17.34,2.11,3.96,284.34,2026-01-07
515800,800ETF,观察,1.305,0,0.0,4.32,5.67,26.95,2.14,0.39,5799.74,2026-01-07
515810,中证800ETF,观察,1.699,0,0.0,4.36,5.99,29.89,2.14,0.37,671.5,2026-01-07
510180,上证180ETF,观察,4.26,0,0.0,4.08,4.93,22.55,2.17,0.9,9099.3,2026-01-07
512100,中证1000ETF,观察,3.212,0,0.0,4.39,6.92,31.53,2.19,0.82,106852.53,2026-01-07
510670,上证180ETF华夏,观察,1.03,0,0.0,4.36,4.78,,2.3,0.43,625.33,2026-01-07
512770,战略新兴ETF,观察,2.199,0,0.0,3.73,6.28,65.34,2.33,0.58,278.02,2026-01-07
515960,医药ETF嘉实,观察,0.868,0,0.0,4.2,2.6,17.3,2.38,0.84,347.99,2026-01-07
512650,长三角ETF,观察,1.338,0,0.0,5.02,6.44,34.74,2.51,1.38,270.37,2026-01-07
512010,医药ETF,观察,0.399,0,0.0,4.18,2.05,8.13,2.52,0.68,35147.54,2026-01-07
515950,医药龙头ETF,观察,0.972,0,0.0,4.4,2.53,10.58,2.53,0.65,920.09,2026-01-07
515320,电子50ETF,观察,1.276,0,0.0,5.37,5.98,48.03,2.59,0.72,672.72,2026-01-07
512120,医药50ETF,观察,0.478,0,0.0,4.37,2.14,14.35,2.66,1.11,874.86,2026-01-07
515260,电子ETF,观察,0.698,0,0.0,5.28,6.56,51.08,2.71,0.5,1113.41,2026-01-07
515000,科技ETF,观察,1.053,0,0.0,5.09,6.69,56.46,2.73,0.67,8910.64,2026-01-07
510660,医药卫生ETF,观察,2.537,0,0.0,4.7,3.34,19.11,2.8,0.73,252.6,2026-01-07
512220,TMTETF,观察,2.966,0,0.0,5.1,7.85,71.15,2.82,0.79,1021.45,2026-01-07
512170,医疗ETF,观察,0.363,0,0.0,5.22,5.22,8.04,2.83,0.69,49788.14,2026-01-07
515750,科技50ETF,观察,1.917,0,0.0,6.09,6.38,41.69,2.84,0.71,1542.83,2026-01-07
515220,煤炭ETF,观察,1.075,0,0.0,3.07,0.19,-1.83,2.87,1.56,61903.79,2026-01-07
515200,创新100ETF,观察,2.237,0,0.0,5.32,5.92,45.64,2.89,0.27,125.68,2026-01-07
515120,创新药ETF,观察,0.662,0,0.0,4.75,1.22,24.44,2.92,0.94,28583.72,2026-01-07
510810,上海国企ETF,观察,0.98,0,0.0,4.7,6.29,14.49,2.98,1.58,9483.99,2026-01-07
515550,国联中证500ETF,观察,1.745,0,0.0,5.95,9.06,35.9,2.99,3.63,323.49,2026-01-07
512290,生物医药ETF,观察,1.065,0,0.0,4.82,3.0,14.76,3.04,0.76,7130.0,2026-01-07
510500,中证500ETF,观察,8.03,0,0.0,6.39,10.33,37.48,3.08,0.59,157544.85,2026-01-07
512500,中证500ETF华夏,观察,4.412,0,0.0,6.42,10.49,37.79,3.09,0.71,14192.96,2026-01-07
510580,中证500ETF易方达,观察,4.073,0,0.0,6.26,10.59,39.06,3.12,0.38,3595.4,2026-01-07
510510,中证500ETF基金,观察,2.517,0,0.0,6.43,10.49,37.69,3.16,0.49,1749.98,2026-01-07
515190,中银证券500ETF,观察,1.644,0,0.0,6.34,10.56,36.77,3.16,0.4,1118.88,2026-01-07
510550,方正中证500ETF,观察,2.0,0,0.0,5.99,10.5,36.99,3.18,1.26,123.05,2026-01-07
510590,中证500ETF平安,观察,8.395,0,0.0,6.36,10.61,39.5,3.18,1.63,184.51,2026-01-07
512510,中证500ETF华泰柏瑞,观察,2.305,0,0.0,6.52,10.92,39.61,3.19,0.46,1017.97,2026-01-07
515580,科技100ETF,观察,1.322,0,0.0,6.18,6.44,57.76,3.22,0.37,640.94,2026-01-07
510530,中证500ETF工银,观察,8.58,0,0.0,6.56,10.91,39.26,3.25,0.55,130.43,2026-01-07
510560,国寿500ETF,观察,1.921,0,0.0,6.37,10.47,40.94,3.32,3.39,126.2,2026-01-07
512670,国防ETF,观察,0.955,0,0.0,7.18,19.52,39.01,3.33,0.55,11988.03,2026-01-07
510410,资源ETF,观察,1.924,0,0.0,7.97,10.38,57.58,3.55,0.96,2213.83,2026-01-07
510170,大宗商品ETF,观察,1.323,0,0.0,7.21,9.79,48.48,3.62,0.71,843.17,2026-01-07
512330,信息科技ETF,观察,1.568,0,0.0,8.81,13.54,59.19,4.14,1.01,455.7,2026-01-07
512980,传媒ETF,观察,1.074,0,0.0,11.64,10.95,34.25,4.23,0.77,15282.94,2026-01-07
512760,芯片ETF,观察,1.763,0,0.0,8.76,10.46,51.98,4.49,0.91,33439.48,2026-01-07
512480,半导体ETF,观察,1.602,0,0.0,9.28,11.17,52.86,4.77,0.79,128773.24,2026-01-07
512400,有色金属ETF,观察,2.093,0,0.0,11.45,15.89,113.79,4.96,0.65,121080.29,2026-01-07
