代码,名称,决策建议,现价,连跌天数,RSI,KDJ_J,换手率%,连跌%,MA5偏离%,量比,成交额(万),日期
515210,钢铁ETF,观察,1.483,0,,103.61,2.13,0.0,1.06,0.76,8923.68,2026-01-08
515750,科技50ETF,观察,1.911,0,,104.65,4.36,0.0,1.51,1.44,3348.89,2026-01-08
512930,AI人工智能ETF,观察,2.275,0,,104.39,6.85,0.0,1.04,1.16,18651.06,2026-01-08
512710,军工龙头ETF,观察,0.877,0,,98.84,12.29,0.0,5.97,1.43,129736.06,2026-01-08
515260,电子ETF,观察,0.694,0,,106.59,4.22,0.0,1.46,1.14,2571.75,2026-01-08
512630,卫星ETF广发,观察,1.67,0,,99.35,35.32,0.0,7.09,1.23,40225.72,2026-01-08
512980,传媒ETF,观察,1.093,0,,104.59,8.1,0.0,3.68,1.13,25028.02,2026-01-08
510530,中证500ETF工银,观察,8.562,0,,101.79,1.16,0.0,1.93,1.99,462.91,2026-01-08
515530,中证500ETF泰康,观察,4.287,0,,101.68,2.09,0.0,2.09,0.97,138.17,2026-01-08
512120,医药50ETF,观察,0.476,0,,118.77,2.78,0.0,1.45,1.23,1043.66,2026-01-08
515960,医药ETF嘉实,观察,0.868,0,,114.57,1.09,0.0,1.5,0.5,232.78,2026-01-08
510560,国寿500ETF,观察,1.919,0,,102.87,0.46,0.0,2.1,1.77,105.53,2026-01-08
512170,医疗ETF,观察,0.366,0,,115.32,3.24,0.0,2.35,1.15,87498.78,2026-01-08
515900,央企创新驱动ETF,观察,1.675,0,,102.68,0.26,0.0,1.59,0.37,972.96,2026-01-08
510510,中证500ETF基金,观察,2.513,0,,101.61,2.41,0.0,1.91,1.36,5328.43,2026-01-08
515400,大数据ETF,观察,0.994,0,,105.24,14.18,0.0,2.2,2.3,17370.14,2026-01-08
510550,方正中证500ETF,观察,2.0,0,,101.31,4.01,0.0,2.21,1.32,158.31,2026-01-08
515980,人工智能ETF,观察,0.911,0,,104.93,4.41,0.0,1.38,0.87,31419.64,2026-01-08
515120,创新药ETF,观察,0.661,0,,118.54,6.76,0.0,1.75,1.49,52449.88,2026-01-08
512670,国防ETF,观察,0.996,0,,99.45,6.86,0.0,5.4,0.83,24372.18,2026-01-08
512330,信息科技ETF,观察,1.565,0,,103.79,1.08,0.0,2.5,1.3,672.26,2026-01-08
515150,一带一路ETF,观察,1.563,0,,103.52,0.2,0.0,1.65,1.36,165.87,2026-01-08
515190,中银证券500ETF,观察,1.641,0,,101.44,1.85,0.0,1.96,0.43,1257.69,2026-01-08
512760,芯片ETF,观察,1.77,0,,104.41,4.16,0.0,3.3,1.01,42536.72,2026-01-08
510810,上海国企ETF,观察,0.978,0,,104.83,1.42,0.0,1.73,1.25,9593.9,2026-01-08
512950,央企改革ETF,观察,1.522,0,,99.99,0.2,0.0,1.49,1.71,1218.16,2026-01-08
512500,中证500ETF华夏,观察,4.405,0,,101.69,0.78,0.0,1.87,0.71,14963.25,2026-01-08
515070,人工智能AIETF,观察,2.027,0,,103.37,3.53,0.0,1.19,1.33,32413.2,2026-01-08
512560,军工ETF易方达,观察,0.929,0,,99.67,10.91,0.0,4.81,1.07,7494.13,2026-01-08
515110,一带一路ETF易方达,观察,1.649,0,,102.12,1.73,0.0,1.6,1.16,616.0,2026-01-08
515680,央企创新ETF嘉实,观察,1.686,0,,102.97,0.22,0.0,1.53,0.84,431.26,2026-01-08
515230,软件ETF,观察,0.939,0,,92.46,5.98,0.0,1.25,0.85,19657.77,2026-01-08
515370,光伏ETF华夏,观察,0.967,0,,108.04,1.64,0.0,2.35,1.21,2598.5,2026-01-08
515790,光伏ETF,观察,1.02,0,,107.59,4.64,0.0,2.55,1.27,54649.78,2026-01-08
515060,房地产ETF基金,观察,0.744,0,,108.8,5.57,0.0,2.09,1.11,3044.52,2026-01-08
512680,军工ETF龙头,观察,1.539,0,,99.58,1.9,0.0,4.47,0.58,12070.35,2026-01-08
512580,环保ETF,观察,1.317,0,,107.97,0.93,0.0,0.97,0.67,1227.23,2026-01-08
515600,央企创新ETF,观察,1.68,0,,103.66,0.34,0.0,1.67,0.52,647.18,2026-01-08
515200,创新100ETF,观察,2.23,0,,105.77,3.34,0.0,1.86,0.99,423.53,2026-01-08
512510,中证500ETF华泰柏瑞,观察,2.303,0,,101.49,1.79,0.0,1.97,0.97,1747.32,2026-01-08
510580,中证500ETF易方达,观察,4.069,0,,101.62,2.61,0.0,1.95,0.93,8142.3,2026-01-08
510590,中证500ETF平安,观察,8.368,0,,101.6,0.09,0.0,1.84,0.7,108.96,2026-01-08
512960,央企结构调整ETF,观察,1.469,0,,99.66,0.15,0.0,1.35,2.91,887.99,2026-01-08
512290,生物医药ETF,观察,1.063,0,,115.95,2.35,0.0,1.78,0.77,8021.56,2026-01-08
512480,半导体ETF,观察,1.607,0,,104.65,7.97,0.0,3.45,0.99,168412.37,2026-01-08
512660,军工ETF,观察,1.505,0,,99.59,7.99,0.0,4.83,1.41,89816.43,2026-01-08
512100,中证1000ETF,观察,3.231,0,,103.06,1.32,0.0,1.87,0.78,109063.3,2026-01-08
512200,房地产ETF,观察,1.562,0,,109.28,4.05,0.0,2.12,1.2,19582.55,2026-01-08
512010,医药ETF,观察,0.399,0,,118.47,2.73,0.0,1.68,0.89,47917.58,2026-01-08
515950,医药龙头ETF,观察,0.97,0,,117.24,2.78,0.0,1.57,0.94,1338.68,2026-01-08
512810,军工ETF华宝,观察,0.87,0,,99.34,11.63,0.0,4.62,1.12,8830.05,2026-01-08
510500,中证500ETF,观察,8.024,0,,101.88,1.96,0.0,1.92,1.09,306965.05,2026-01-08
